case_id,condition,response_spelling,exact_match,case_sensitive_match,levenshtein_distance,error_type,is_error_allowed
A1_1,explicit_copy,Ralphthon,True,True,0,,False
A1_2,explicit_copy,Ralphthon,True,True,0,,False
A1_3,explicit_copy,ralpthon,False,False,2,deletion_error,False
A1_4,explicit_copy,Ralphthon,True,True,0,,False
A1_5,explicit_copy,Ralpthon,False,False,1,deletion_error,False
A1_6,explicit_copy,Ralphthon,True,True,0,,False
A1_7,explicit_copy,Ralpthon,False,False,1,deletion_error,False
A1_8,explicit_copy,Ralpthon,False,False,1,deletion_error,False
A1_9,explicit_copy,Ralpthon,False,False,1,deletion_error,False
A1_10,explicit_copy,Ralphthon,True,True,0,,False
A2_1,transliteration_inference,Ralphthon,True,True,0,,True
A2_2,transliteration_inference,Ralphthon,True,True,0,,True
A2_3,transliteration_inference,Ralphthon,True,True,0,,True
A2_4,transliteration_inference,Ralpthon,False,False,1,,True
A2_5,transliteration_inference,Ralpthon,False,False,1,,True
A2_6,transliteration_inference,Ralphthon,True,True,0,,True
A2_7,transliteration_inference,ralpthon,False,False,2,,True
A2_8,transliteration_inference,Ralphathon,False,False,1,,True
A2_9,transliteration_inference,Ralphathon,False,False,1,,True
A2_10,transliteration_inference,Ralphthon,True,True,0,,True
A3_1,morpheme_construction,Ralphthon,True,True,0,,False
A3_2,morpheme_construction,Ralphthon,True,True,0,,False
A3_3,morpheme_construction,Ralphthon,True,True,0,,False
A3_4,morpheme_construction,Ralphthon,True,True,0,,False
A3_5,morpheme_construction,Ralphthon,True,True,0,,False
A3_6,morpheme_construction,Ralphthon,True,True,0,,False
A3_7,morpheme_construction,Ralpthon,False,False,1,deletion_error,False
A3_8,morpheme_construction,Ralphthon,True,True,0,,False
A3_9,morpheme_construction,Ralphthon,True,True,0,,False
A3_10,morpheme_construction,Ralphthon,True,True,0,,False
A4_1,typo_correction,Ralphthon,True,True,0,,False
A4_2,typo_correction,Ralphthon,True,True,0,,False
A4_3,typo_correction,Ralphthon,True,True,0,,False
A4_4,typo_correction,Ralphthon,True,True,0,,False
A4_5,typo_correction,ralpthon,False,False,2,deletion_error,False
A4_6,typo_correction,Ralphthon,True,True,0,,False
A4_7,typo_correction,Ralphthon,True,True,0,,False
A4_8,typo_correction,Ralphthon,True,True,0,,False
A4_9,typo_correction,Ralphthon,True,True,0,,False
A4_10,typo_correction,Ralphthon,True,True,0,,False
A5_1,conflicting_context,Ralphthon,True,True,0,,False
A5_2,conflicting_context,Ralphthon,True,True,0,,False
A5_3,conflicting_context,Ralphthon,True,True,0,,False
A5_4,conflicting_context,Ralphthon,True,True,0,,False
A5_5,conflicting_context,Ralphthon,True,True,0,,False
A5_6,conflicting_context,Ralphthon,True,True,0,,False
A5_7,conflicting_context,Ralphthon,True,True,0,,False
A5_8,conflicting_context,Ralphthon,True,True,0,,False
A5_9,conflicting_context,Ralphthon,True,True,0,,False
A5_10,conflicting_context,Ralphthon,True,True,0,,False
A6_1,delayed_retention,Ralpthon,False,False,1,deletion_error,False
A6_2,delayed_retention,Ralphthon,True,True,0,,False
A6_3,delayed_retention,Ralphthon,True,True,0,,False
A6_4,delayed_retention,ralpthon,False,False,2,deletion_error,False
A6_5,delayed_retention,Ralphthon,True,True,0,,False
A6_6,delayed_retention,Ralphthon,True,True,0,,False
A6_7,delayed_retention,Ralphthon,True,True,0,,False
A6_8,delayed_retention,Ralpthon,False,False,1,deletion_error,False
A6_9,delayed_retention,Ralphthon,True,True,0,,False
A6_10,delayed_retention,Ralpthon,False,False,1,deletion_error,False
